emp_no,first_name,last_name,from_date,salary,title
228285,Weiwu,Pollock,1988-04-20,40000,Assistant Engineer
71700,Shawna,Bamford,1998-09-09,40000,Assistant Engineer
71694,Nirmal,Rikino,1995-11-02,40000,Assistant Engineer
219647,Teruyuki,Bonifati,1997-05-04,40000,Assistant Engineer
28714,Arco,Poehlman,1996-11-25,40000,Assistant Engineer
261592,Takushi,Kolinko,1996-01-28,40000,Assistant Engineer
257466,Khalil,Walston,1997-12-31,41936,Assistant Engineer
253865,Fox,Hedayat,1998-04-29,40000,Assistant Engineer
19565,Zito,Riesenhuber,1997-10-07,40000,Assistant Engineer
71640,Berhard,Sinitsyn,1991-09-09,40000,Assistant Engineer
228658,Eldridge,Strooper,1993-04-15,43700,Assistant Engineer
239539,Shaz,Hedayat,1996-06-02,40000,Assistant Engineer
23840,Thanasis,Polupanov,1996-02-01,43469,Assistant Engineer
239556,Gilbert,Irland,1987-11-28,43879,Assistant Engineer
71350,King,Jenevein,1999-07-04,40000,Assistant Engineer
19520,Weiye,Ossenbruggen,1995-04-26,61414,Assistant Engineer
80259,Haldon,Siprelle,1993-02-27,49124,Assistant Engineer
96193,Supot,Terekhov,1995-07-29,44428,Assistant Engineer
88959,Danae,Schlegelmilch,1998-03-18,40000,Assistant Engineer
219651,Youjian,Rassart,1997-03-04,40000,Assistant Engineer
239591,Mitchel,Reinhard,1997-08-01,40000,Assistant Engineer
87043,Fay,Anily,1987-07-01,56191,Assistant Engineer
88901,Foong,Zambonelli,1999-10-24,48888,Assistant Engineer
51149,Gilbert,Rajcani,1985-08-30,40000,Assistant Engineer
214608,Nalini,Fujisawa,2002-01-18,40000,Assistant Engineer
239642,Mara,Belinskaya,1989-09-12,49364,Assistant Engineer
51059,Ramya,Weiland,1999-05-28,50166,Assistant Engineer
257530,Zejun,Yoshimura,1992-11-25,40000,Assistant Engineer
86973,Shao,Honiden,2000-10-09,40000,Assistant Engineer
71327,Theron,Edelhoff,1990-04-25,53836,Assistant Engineer
214580,Xiaoqiu,Daescu,1994-05-14,40000,Assistant Engineer
50908,Eben,Cronin,1998-03-28,51792,Assistant Engineer
96280,Yolla,Stasinski,1994-07-27,40000,Assistant Engineer
261044,Bogdan,Copas,1998-02-02,40000,Assistant Engineer
239755,Chinhyun,Bage,1996-12-18,49735,Assistant Engineer
71219,Fayez,Danecki,1994-02-04,44171,Assistant Engineer
50793,Moss,Undy,1999-12-07,40000,Assistant Engineer
80233,Arlette,Noriega,1990-07-22,67272,Assistant Engineer
86898,Uriel,Zaccaria,1991-12-31,67094,Assistant Engineer
71146,Slavian,Zolotykh,1995-07-06,59926,Assistant Engineer
71063,Kwok,Conte,1998-09-23,53819,Assistant Engineer
96303,Kirk,Pulkowski,1999-07-18,54067,Assistant Engineer
50704,Kiyokazu,Giaccio,1999-07-13,51572,Assistant Engineer
70971,Giri,Baba,1999-10-28,40000,Assistant Engineer
23738,Lubomir,Luck,1994-09-12,51301,Assistant Engineer
29259,Jingling,Perng,1996-11-07,42070,Assistant Engineer
70743,Matk,Genin,1994-06-20,42520,Assistant Engineer
50684,Arco,Conti,1996-09-27,60972,Assistant Engineer
70735,Shaowei,Spataro,1990-10-08,58619,Assistant Engineer
239821,Dinkar,Ramras,1999-12-05,58658,Assistant Engineer
50579,Subhrajyoti,Schmezko,1990-08-12,40000,Assistant Engineer
19368,Isaac,Bresenham,1995-10-02,40000,Assistant Engineer
50498,Slavian,Boguraev,1997-01-29,46879,Assistant Engineer
214513,Waiman,Taubenfeld,1992-12-31,49307,Assistant Engineer
93649,Tsutomu,Driscoll,1997-03-14,62408,Assistant Engineer
70723,Kristinn,Beznosov,1997-07-05,61178,Assistant Engineer
93655,Sanjoy,Gewali,1995-10-25,62287,Assistant Engineer
88835,Gad,Nivat,1988-03-10,49033,Assistant Engineer
239978,Tran,Bondorf,2001-02-26,40000,Assistant Engineer
50419,Vishu,Biran,1993-09-23,40000,Assistant Engineer
50336,Odoardo,Acton,2001-08-10,66252,Assistant Engineer
219757,Gita,Emmerich,1987-08-27,40000,Assistant Engineer
50281,Guttorm,Furudate,1990-10-25,44296,Assistant Engineer
229049,Alois,Denis,1985-07-24,70952,Assistant Engineer
219774,Augustine,Passafiume,1999-10-26,74627,Assistant Engineer
70530,Qunsheng,Stille,1992-05-02,40000,Assistant Engineer
219777,Leandro,Tasistro,1998-08-11,40000,Assistant Engineer
23691,Satoru,Stille,1999-09-07,60076,Assistant Engineer
70465,Kien,Ligten,1987-06-10,45067,Assistant Engineer
261054,Almudena,Weiland,1994-08-21,59904,Assistant Engineer
70371,Basil,Baek,1996-12-17,40000,Assistant Engineer
70363,Hatsukazu,Thiran,2001-01-08,41399,Assistant Engineer
240309,Roselyn,Angel,1988-02-19,46108,Assistant Engineer
229129,Subhankar,Gerteisen,1993-06-21,43085,Assistant Engineer
27276,Adin,Scallan,1994-11-05,40000,Assistant Engineer
86825,Karoline,Hasham,1998-04-21,40000,Assistant Engineer
49824,Shigenori,Benaini,1990-12-25,40000,Assistant Engineer
69907,Jaber,Bratsberg,1992-12-02,40000,Assistant Engineer
214470,Ortrun,Yoshizawa,2002-05-04,51565,Assistant Engineer
25656,Eben,Narwekar,1998-05-20,40000,Assistant Engineer
49796,Edwin,Rouquie,1990-05-02,51496,Assistant Engineer
13990,Deborah,Schapiro,1988-06-10,52723,Assistant Engineer
49787,Mingzeng,Guting,2001-06-17,59295,Assistant Engineer
49778,Janalee,Fasbender,1997-03-30,70255,Assistant Engineer
49732,Kellyn,Famili,1992-06-07,43370,Assistant Engineer
12047,Jordanka,Ligten,1996-08-23,52051,Assistant Engineer
49637,Bartek,Redmiles,1999-08-07,40000,Assistant Engineer
240646,Nigel,DuCasse,1996-09-16,46313,Assistant Engineer
229390,Leni,Horswill,1998-09-10,78288,Assistant Engineer
19120,Giri,Qiwen,1994-05-20,49416,Assistant Engineer
223397,Jamaludin,Morris,1986-02-25,57458,Assistant Engineer
49390,Sreekrishna,Kakkad,1996-11-08,40000,Assistant Engineer
23561,Jingling,Zizka,1992-02-25,48337,Assistant Engineer
214446,Barry,Mersereau,1998-08-17,71698,Assistant Engineer
86803,Rafael,Demeyer,1992-03-19,40000,Assistant Engineer
255157,Saeed,Zlotek,1998-10-28,40000,Assistant Engineer
223406,Gift,Yoshimura,1987-03-31,59178,Assistant Engineer
49346,Jacopo,Nyanchama,1997-08-09,40000,Assistant Engineer
88830,Shih,Auria,1985-02-04,58314,Assistant Engineer
49034,Jasminko,Suwa,1997-10-04,41350,Assistant Engineer
48981,Kenroku,Sidje,1992-06-10,42552,Assistant Engineer
69664,Christ,Collette,1997-07-29,40000,Assistant Engineer
240976,Sailaja,Luca,1993-09-30,46709,Assistant Engineer
240982,Toshimori,Kawashima,1991-07-29,40000,Assistant Engineer
69656,Shalesh,Farrel,1995-05-05,40000,Assistant Engineer
253884,Monique,Saoudi,1992-05-21,57379,Assistant Engineer
18980,Weiye,Kawashimo,1987-01-08,56699,Assistant Engineer
48811,Subhada,Zlotek,1990-09-11,56929,Assistant Engineer
80062,Masamitsu,Antonisse,1997-02-13,40000,Assistant Engineer
18974,Gina,Olano,1998-04-09,59313,Assistant Engineer
88796,Mang,Erol,1997-11-25,40000,Assistant Engineer
257821,Anyuan,Paludetto,1995-04-15,40000,Assistant Engineer
69648,Jaques,Isaak,1993-06-29,40000,Assistant Engineer
48727,Bluma,Kalloufi,1992-11-30,47873,Assistant Engineer
223530,Candido,Marquardt,2000-01-08,40000,Assistant Engineer
241126,Masamitsu,Francisci,1999-06-22,87358,Assistant Engineer
96621,Adin,Anandan,1994-04-30,54108,Assistant Engineer
241142,Zsolt,Lorys,1993-04-03,68856,Assistant Engineer
48542,Kazuhide,Zeilberger,1997-08-04,55488,Assistant Engineer
86690,Carrsten,Whitcomb,1989-01-29,61652,Assistant Engineer
29361,LiMin,McDermid,1990-07-30,40000,Assistant Engineer
69493,Odoardo,Greibach,1992-02-25,63607,Assistant Engineer
48524,Danae,Wursthorn,1989-06-12,40000,Assistant Engineer
48503,Pranas,Gammage,1995-03-21,68225,Assistant Engineer
18866,Fumiyo,Hettesheimer,2000-02-20,56470,Assistant Engineer
69314,Basil,Suessmith,1996-02-19,52221,Assistant Engineer
69293,Remzi,Anandan,1997-02-11,44358,Assistant Engineer
86561,Thodoros,Frolund,1993-08-16,42797,Assistant Engineer
23442,Vesna,Rindone,1987-12-31,40000,Assistant Engineer
241502,Mitchel,Hainaut,1999-05-26,43481,Assistant Engineer
229742,Aran,Lundstrom,1988-12-28,49587,Assistant Engineer
229768,Nathalie,Stentiford,1998-01-06,40000,Assistant Engineer
47981,Barna,Peng,1985-11-16,50274,Assistant Engineer
79947,Leif,Baezner,1992-12-07,48950,Assistant Engineer
257935,Ramachenga,Ranta,1994-07-08,41427,Assistant Engineer
223565,Ymte,Waleschkowski,1988-05-24,40000,Assistant Engineer
214417,Alselm,Czap,1993-04-26,53827,Assistant Engineer
69034,Falguni,Hiraishi,1998-12-24,59122,Assistant Engineer
11940,Ult,Anido,1996-11-02,60193,Assistant Engineer
47849,Gao,Munke,1997-01-04,40000,Assistant Engineer
47821,Raimond,Mitina,1986-01-02,45083,Assistant Engineer
18702,Kinh,Impagliazzo,1990-10-07,56913,Assistant Engineer
96728,Munehiro,Improta,1991-02-28,40000,Assistant Engineer
255282,Sumant,Aamodt,1995-05-07,40000,Assistant Engineer
86450,Bernt,Perly,1989-08-19,43532,Assistant Engineer
29379,Tommaso,Taneja,1995-06-18,40000,Assistant Engineer
47710,Hsiangchu,Rebaine,1996-05-10,41424,Assistant Engineer
255291,Vesna,England,1987-09-28,48459,Assistant Engineer
217299,Martins,Gill,1987-05-09,56881,Assistant Engineer
47640,Persi,Barreiro,1990-04-02,81013,Assistant Engineer
257988,Phule,Usdin,1986-08-31,66819,Assistant Engineer
88758,Basem,Valette,1998-08-27,40000,Assistant Engineer
47557,Vishwani,Leslie,1993-06-20,56417,Assistant Engineer
223568,Bernice,Perna,1995-05-06,57548,Assistant Engineer
229818,Maik,Matheson,1996-09-10,53830,Assistant Engineer
216860,Akeel,Monkewich,1987-01-11,79394,Assistant Engineer
79704,Ipke,Neiman,1993-07-01,48603,Assistant Engineer
79669,Premsyl,Meszaros,1996-07-02,44222,Assistant Engineer
18598,Youssef,Brookner,1994-06-20,47523,Assistant Engineer
241899,Toshimi,Peak,1994-05-20,51070,Assistant Engineer
223605,Khue,Iivonen,1999-06-29,40000,Assistant Engineer
18580,Mabo,Bamford,1997-09-18,40000,Assistant Engineer
18563,Jinya,Peot,1996-01-21,53738,Assistant Engineer
93863,Fuqing,Cardazo,1990-08-29,51474,Assistant Engineer
90735,Kayoko,Anily,1991-07-28,61317,Assistant Engineer
18551,Oguz,Rijsenbrij,1998-06-18,40000,Assistant Engineer
223630,Berry,Ozery,1995-04-14,40000,Assistant Engineer
23351,Katsuyuki,Passafiume,1995-01-08,40000,Assistant Engineer
220100,Sangeeta,Vural,1991-06-20,40000,Assistant Engineer
79546,Ishfaq,Heydon,1993-09-20,62241,Assistant Engineer
86329,Margareta,Ibel,1989-04-15,40000,Assistant Engineer
47120,Takahiro,Casperson,1989-10-15,60788,Assistant Engineer
86308,Dipankar,Muhling,1988-06-08,40000,Assistant Engineer
47100,Thanasis,Luff,1998-08-16,40097,Assistant Engineer
79514,Eishiro,DuBourdieux,1993-03-03,50534,Assistant Engineer
47047,Shugo,Nourani,1993-11-28,40000,Assistant Engineer
46991,Poornachandra,Majewski,1997-06-23,40000,Assistant Engineer
18497,Yongmao,Marsiglia,1992-08-02,40000,Assistant Engineer
68798,Theirry,Murtagh,1989-06-23,40000,Assistant Engineer
18441,Valeri,Jenevein,1994-03-26,40000,Assistant Engineer
242250,Yoshinari,Ishibashi,1989-10-19,62230,Assistant Engineer
86217,Mari,Asrin,1999-03-20,55211,Assistant Engineer
253945,Gina,Rabehasaina,1998-12-15,78806,Assistant Engineer
18438,Chiradeep,Iacovou,1994-10-01,41898,Assistant Engineer
253952,Cristinel,Kohling,1993-06-14,40000,Assistant Engineer
229903,Hausi,Callaway,1997-04-27,41972,Assistant Engineer
46622,Filipp,Krzyzanowski,1997-07-26,57693,Assistant Engineer
46510,Nahum,Armand,1995-11-08,53819,Assistant Engineer
79449,Tonny,Stavenow,1986-06-29,40000,Assistant Engineer
216803,Ute,Zyda,1994-05-29,63066,Assistant Engineer
96961,Genki,Horswill,1996-08-08,40000,Assistant Engineer
255361,Aamer,Spell,1995-08-21,40000,Assistant Engineer
214322,Billie,Milicic,1999-08-25,64393,Assistant Engineer
242551,Sugwoo,DuCasse,2000-02-01,42088,Assistant Engineer
23222,Chuanyi,Valiente,1996-09-18,40000,Assistant Engineer
18339,Anneli,Barvinok,1996-07-24,40000,Assistant Engineer
46221,Weidon,Kobuchi,1993-09-23,51056,Assistant Engineer
79367,Shir,Kandlur,1992-10-30,56407,Assistant Engineer
86157,Kwangsub,Demizu,1988-05-11,40000,Assistant Engineer
46191,Hilari,Pocchiola,1993-06-06,47480,Assistant Engineer
259847,Atreyi,Templeman,1993-12-01,40000,Assistant Engineer
18322,Tonia,Lueh,1988-10-04,40000,Assistant Engineer
28782,Marl,Yemenis,1995-03-25,48475,Assistant Engineer
216789,Eben,Ghemri,1989-11-07,56045,Assistant Engineer
46175,Zissis,Rosca,1993-03-07,43415,Assistant Engineer
261183,Atilio,Weedman,1989-01-19,40000,Assistant Engineer
14385,Chanjung,Vendrig,1990-11-10,40000,Assistant Engineer
242678,Tokuyasu,Beausoleil,1992-02-21,59693,Assistant Engineer
11829,Chaosheng,Pettis,1999-10-11,40000,Assistant Engineer
23212,Hilary,Magliocco,1996-03-08,62788,Assistant Engineer
242698,Florian,Hofstetter,1993-02-23,55216,Assistant Engineer
68318,Frazer,Plessier,1993-08-13,63365,Assistant Engineer
259841,Pascal,Beausoleil,1993-06-06,40000,Assistant Engineer
45805,Brewster,Falster,2000-05-04,50782,Assistant Engineer
79269,Conal,Soloway,1991-09-14,60956,Assistant Engineer
45665,Peternela,Tsunoo,1992-11-14,41015,Assistant Engineer
223927,Bernice,Furudate,1986-05-07,40000,Assistant Engineer
45655,Radhakrishnan,Beausoleil,1996-12-02,59827,Assistant Engineer
45641,Chriss,Huxford,1999-07-30,47047,Assistant Engineer
25429,Sugwoo,Valette,1992-03-21,40000,Assistant Engineer
68284,Kiyotoshi,Jakobus,1998-10-11,40000,Assistant Engineer
242818,Malu,Murtagh,1987-11-17,40000,Assistant Engineer
258140,Boutros,Georgakopoulos,1986-07-15,58933,Assistant Engineer
68232,Muneo,Gadepally,1999-11-30,51726,Assistant Engineer
79087,Marke,Vigier,1993-03-18,40000,Assistant Engineer
45495,Mechthild,Mellouli,1999-01-13,54133,Assistant Engineer
45349,Younwoo,Kohling,1992-06-20,50349,Assistant Engineer
68158,Abdelaziz,Hennings,1998-11-24,40000,Assistant Engineer
28478,Chiradeep,Simmen,1986-02-18,40000,Assistant Engineer
79059,Yuguang,Lanteri,2002-06-09,45456,Assistant Engineer
97120,Srinidhi,Cherinka,1993-01-23,45191,Assistant Engineer
254041,Zhongwei,Quadeer,1998-02-08,41994,Assistant Engineer
94010,Jouko,Puppe,1999-05-17,41194,Assistant Engineer
45337,Boriana,Jansen,1996-09-14,43452,Assistant Engineer
243058,Kensyu,Masada,1999-07-26,46763,Assistant Engineer
68111,Xiaoqiu,Camarinopoulos,1992-05-04,40000,Assistant Engineer
45279,Toshimo,Auria,1993-12-16,44523,Assistant Engineer
45183,Cristinel,Gyorkos,1997-07-06,43918,Assistant Engineer
97145,Satosi,Neimat,1997-09-03,41841,Assistant Engineer
243128,Zhonghua,Papadias,1996-05-18,53946,Assistant Engineer
68063,Karlis,Gide,1989-04-05,43681,Assistant Engineer
97164,Aamod,Ghandeharizadeh,1992-03-31,63386,Assistant Engineer
67965,Khalid,Hertweck,1999-12-11,40657,Assistant Engineer
29499,Richard,Schwartzburd,2001-04-25,64855,Assistant Engineer
45104,Huei,Denny,1998-10-06,57727,Assistant Engineer
45015,Marek,Muhlberg,1993-12-22,40000,Assistant Engineer
94030,Masato,Shobatake,1998-07-03,40000,Assistant Engineer
243271,Huei,Junet,1999-01-17,40860,Assistant Engineer
67928,Bikash,Iisaka,1996-06-03,40000,Assistant Engineer
94034,Vasilis,Riesenhuber,1991-02-28,40000,Assistant Engineer
224011,Thodoros,Waschkowski,1998-07-06,47352,Assistant Engineer
44943,Lalit,Hmelo,1985-06-17,41434,Assistant Engineer
44935,Younwoo,Hiltgen,1996-10-30,40000,Assistant Engineer
25391,Hatsukazu,Billawala,2000-01-28,40000,Assistant Engineer
243349,Kamakshi,Milicic,1989-04-19,40000,Assistant Engineer
216770,Tomoyuki,Klerer,1998-08-03,40000,Assistant Engineer
252768,Marlo,Cherinka,1997-06-03,66096,Assistant Engineer
214144,Duke,Oppitz,1997-10-03,40000,Assistant Engineer
44561,Shay,Perin,1992-04-19,44120,Assistant Engineer
224072,Sven,Zykh,1990-10-28,40000,Assistant Engineer
44519,Aamod,Pavlopoulou,1997-04-02,51193,Assistant Engineer
254061,Krister,Kermarrec,1998-10-10,42100,Assistant Engineer
92517,Mamdouh,Suessmith,1994-04-04,40000,Assistant Engineer
25366,Macha,Morrow,1997-11-27,40000,Assistant Engineer
17869,Xiaocheng,Prochazka,1998-06-12,40000,Assistant Engineer
44411,Mana,Hoppenstand,1989-09-29,40000,Assistant Engineer
230468,Takahito,Zweizig,1985-03-01,44739,Assistant Engineer
67740,Reinhard,Stifter,1987-10-15,42141,Assistant Engineer
243565,Nigel,Veeraraghavan,1991-12-20,40000,Assistant Engineer
243583,Ottavia,Flasterstein,1997-09-25,40412,Assistant Engineer
230551,Khue,Hiyoshi,1995-11-20,43630,Assistant Engineer
67653,Mabo,Rathonyi,1990-07-18,49386,Assistant Engineer
224199,Ohad,Staudhammer,1989-05-10,51094,Assistant Engineer
97308,Gaetan,Benantar,1996-12-15,40000,Assistant Engineer
85645,Henk,Ashish,1994-12-11,61130,Assistant Engineer
44285,Keiichiro,Chimia,1995-07-15,40000,Assistant Engineer
67579,Subbu,Kawashima,2001-02-22,63808,Assistant Engineer
44229,Bojan,Luft,1987-06-09,52310,Assistant Engineer
214104,Khoa,Kalorkoti,1996-03-22,40000,Assistant Engineer
261230,Mary,Percebois,1996-04-13,40000,Assistant Engineer
23035,Kwangho,Remmers,1999-11-27,40000,Assistant Engineer
230602,Arnould,Wursthorn,1997-09-27,40000,Assistant Engineer
251877,Bojan,Danecki,2000-06-28,40000,Assistant Engineer
11737,Martina,Garnier,1995-07-11,48832,Assistant Engineer
97366,Mantis,Gimbel,1992-10-31,42357,Assistant Engineer
23026,Junichi,Lortz,1993-10-03,52693,Assistant Engineer
43950,Goo,Budinsky,1991-07-17,54069,Assistant Engineer
43914,Elvia,Reghbati,1998-11-29,42256,Assistant Engineer
67433,Venkatesan,Neimat,1992-04-10,40000,Assistant Engineer
243815,Zengping,Improta,1996-04-04,46326,Assistant Engineer
43783,Houman,Hmelo,1990-01-07,50026,Assistant Engineer
88646,Joydip,Niizuma,1993-08-22,40000,Assistant Engineer
243882,Rajmohan,Erie,1994-06-05,67743,Assistant Engineer
243948,Macha,Ducloy,1986-05-11,48062,Assistant Engineer
244073,Rasiah,Sudbeck,1996-03-20,46284,Assistant Engineer
244224,Guther,Schaaf,1997-05-30,40000,Assistant Engineer
43059,Bezalel,McAffer,1992-02-23,59333,Assistant Engineer
244356,Masaru,Zolotykh,2000-01-01,40000,Assistant Engineer
244383,Satoru,Vingron,1999-08-21,70323,Assistant Engineer
78618,Teiji,Peres,1988-03-19,40000,Assistant Engineer
26986,Arvin,Thimonier,2002-01-10,66537,Assistant Engineer
230686,Lobel,Gewali,1992-03-13,43529,Assistant Engineer
42942,Mansur,Bolotov,1998-08-02,40000,Assistant Engineer
42929,Sven,Hegner,1990-08-31,40000,Assistant Engineer
230728,Mariangiola,Mansanne,1996-08-13,40000,Assistant Engineer
224284,Samphel,Aingworth,1995-09-23,40000,Assistant Engineer
258313,Mori,Mawatari,1999-02-26,59467,Assistant Engineer
217263,Ramya,Merey,2000-01-08,50045,Assistant Engineer
90445,Subbu,Negoita,1998-12-06,56450,Assistant Engineer
224349,Pranay,Genther,1999-11-22,47808,Assistant Engineer
67132,Paris,Warwick,1995-04-16,64934,Assistant Engineer
67077,Syozo,Gewali,2000-07-23,55388,Assistant Engineer
67015,Claudi,Spinelli,1997-07-07,40000,Assistant Engineer
66991,Khoa,Ranum,1996-08-27,51285,Assistant Engineer
17487,Gully,Staudhammer,1990-07-31,40000,Assistant Engineer
78190,Erez,Bierman,1996-02-23,49868,Assistant Engineer
66921,Weiru,Deville,1987-09-15,45905,Assistant Engineer
220586,Subbu,Sanella,1996-01-10,40901,Assistant Engineer
215717,Hidekazu,Stavenow,1992-04-16,40000,Assistant Engineer
97505,Marjo,Belinskaya,1995-09-23,40000,Assistant Engineer
85583,Sanjeeva,Hiyoshi,1994-08-24,78410,Assistant Engineer
230898,Charlene,Vitiello,1997-02-22,65686,Assistant Engineer
42753,Alagu,Vickson,1997-06-22,40000,Assistant Engineer
66742,Taisook,Katalagarianos,1998-08-03,47882,Assistant Engineer
89890,Eckart,Ozeki,1996-09-11,40000,Assistant Engineer
42714,Zhigen,Alpay,1995-11-14,55408,Assistant Engineer
42534,Maia,Rodham,1993-07-05,49634,Assistant Engineer
66512,Akeel,Ghelli,1996-09-03,60623,Assistant Engineer
255598,Bernardo,Bugaenko,1988-09-18,64344,Assistant Engineer
97567,Godehard,Rodiger,1992-08-06,54361,Assistant Engineer
66338,Boguslaw,Hasham,1998-10-13,64966,Assistant Engineer
42465,Marlo,Azadmanesh,1992-06-01,49144,Assistant Engineer
217211,Kensyu,Besselaar,1997-09-07,53977,Assistant Engineer
88628,Guoxiang,Polajnar,1994-02-21,40000,Assistant Engineer
244589,Rasiah,Stamatiou,1999-12-01,45181,Assistant Engineer
244654,Suzette,Katiyar,1990-04-22,55724,Assistant Engineer
22833,Alassane,Plessier,1994-11-29,51912,Assistant Engineer
85377,Ishfaq,Vecchio,1986-04-25,50952,Assistant Engineer
11644,Sanjit,Zaiane,1995-08-09,80722,Assistant Engineer
42304,Genta,Deyuan,1995-09-07,58047,Assistant Engineer
244671,Chanjung,Staudhammer,1996-12-02,44003,Assistant Engineer
42274,Gal,Grospietsch,2000-05-29,40000,Assistant Engineer
218916,Iara,Cronan,1993-09-12,67382,Assistant Engineer
258449,Arvind,Bouloucos,1999-09-05,41794,Assistant Engineer
66142,Guoxiang,Cooley,1996-06-13,59651,Assistant Engineer
14436,Aloke,Gubsky,1993-07-13,65830,Assistant Engineer
258473,Abdulah,Hellwagner,1991-11-23,44989,Assistant Engineer
91366,Chinho,Munoz,1999-02-20,50827,Assistant Engineer
97641,Mantis,Brlek,1997-10-31,41036,Assistant Engineer
245030,Gully,Osgood,1998-02-11,69820,Assistant Engineer
92614,Armond,Tsukune,1998-08-31,44956,Assistant Engineer
41883,Berhard,Gajiwala,1995-12-23,40000,Assistant Engineer
218168,Ramalingam,Poujol,1999-10-10,43171,Assistant Engineer
215680,Lokesh,Billingsley,1991-08-25,40000,Assistant Engineer
66089,Itzchak,Koprowski,1994-12-05,72644,Assistant Engineer
41746,Zita,Greenaway,1995-01-09,40493,Assistant Engineer
11616,Zhilian,Brendel,1993-12-30,41900,Assistant Engineer
41603,Yongdong,Hagimont,1990-03-13,40000,Assistant Engineer
94272,Constantine,Zielinski,1990-11-30,42584,Assistant Engineer
97680,Shaowei,Ravishankar,1990-01-22,40000,Assistant Engineer
218226,Hinrich,Panwar,1991-06-16,40000,Assistant Engineer
41593,Susuma,Grabner,1988-08-04,40000,Assistant Engineer
252602,Hatsukazu,Flasterstein,1997-02-26,40000,Assistant Engineer
41588,Ziva,Worfolk,1993-11-10,48501,Assistant Engineer
231329,Kinh,Onuegbe,1998-03-24,40000,Assistant Engineer
65809,Martien,Beetstra,1994-08-08,48940,Assistant Engineer
258534,Sandeepan,Munoz,1994-02-19,40000,Assistant Engineer
78130,Jouni,McClurg,1997-12-15,42610,Assistant Engineer
94293,Susuma,Qiwen,1998-03-09,40000,Assistant Engineer
65744,Pasqua,Slobodova,1999-05-17,64531,Assistant Engineer
231368,Richara,Muhling,1999-10-02,50368,Assistant Engineer
